mode,alpha,beta,conf_threshold,minor_gate,major_gate,macro_f1,f1_minor,f1_major,f1_dest,triage
C,,,0.5,0.2,0.2,0.5162875273999422,0.125,0.14814814814814814,0.8531289910600256,0.27314814814814814
C,,,0.5,0.2,0.5,0.5162875273999422,0.125,0.14814814814814814,0.8531289910600256,0.27314814814814814
C,,,0.5,0.5,0.01,0.5082987211096818,0.12903225806451615,0.1111111111111111,0.8538461538461538,0.24014336917562726
C,,,0.5,0.5,0.05,0.5128419534327988,0.125,0.13333333333333333,0.8542199488491048,0.2583333333333333
C,,,0.5,0.5,0.1,0.5148380289403528,0.125,0.14285714285714288,0.8531289910600256,0.2678571428571429
C,,,0.5,0.5,0.2,0.5162875273999422,0.125,0.14814814814814814,0.8531289910600256,0.27314814814814814
C,,,0.5,0.5,0.5,0.5162875273999422,0.125,0.14814814814814814,0.8531289910600256,0.27314814814814814
C,,,0.6,0.01,0.01,0.47946057851149904,0.05714285714285714,0.07407407407407407,0.8527131782945737,0.1312169312169312
C,,,0.6,0.01,0.05,0.4943811003632862,0.09090909090909093,0.1,0.8516129032258065,0.19090909090909092
C,,,0.6,0.01,0.1,0.4985853488729509,0.0851063829787234,0.12121212121212122,0.8534704370179949,0.20631850419084463
C,,,0.6,0.01,0.2,0.5049785574078332,0.0784313725490196,0.15384615384615383,0.8534704370179949,0.23227752639517343
C,,,0.6,0.01,0.5,0.5066450009028007,0.0784313725490196,0.16,0.8534704370179949,0.2384313725490196
C,,,0.6,0.05,0.01,0.4827249059362685,0.06666666666666667,0.07407407407407407,0.8541935483870967,0.14074074074074072
C,,,0.6,0.05,0.05,0.5009751319732126,0.11428571428571428,0.1,0.851994851994852,0.2142857142857143
C,,,0.6,0.05,0.1,0.5052889750510682,0.1111111111111111,0.12121212121212122,0.8516624040920716,0.23232323232323232
C,,,0.6,0.05,0.2,0.5114294258526322,0.10810810810810811,0.14814814814814814,0.8516624040920716,0.25625625625625625
C,,,0.6,0.05,0.5,0.5129809240438645,0.10810810810810811,0.15384615384615383,0.8516624040920716,0.26195426195426197
C,,,0.6,0.1,0.01,0.4827249059362685,0.06666666666666667,0.07407407407407407,0.8541935483870967,0.14074074074074072
C,,,0.6,0.1,0.05,0.5029632055047712,0.1212121212121212,0.1,0.8534704370179949,0.2212121212121212
C,,,0.6,0.1,0.1,0.5071772920548395,0.11764705882352941,0.12121212121212122,0.8531289910600256,0.23885918003565063
C,,,0.6,0.1,0.2,0.5127459356791965,0.11764705882352941,0.14285714285714288,0.8531289910600256,0.2605042016806723
C,,,0.6,0.1,0.5,0.5141956766589774,0.11764705882352941,0.14814814814814814,0.8531289910600256,0.2657952069716776
C,,,0.6,0.2,0.01,0.48342763045018033,0.06896551724137931,0.07407407407407407,0.8541935483870967,0.14303959131545338
C,,,0.6,0.2,0.05,0.5040375517281325,0.125,0.1,0.8534704370179949,0.225
C,,,0.6,0.2,0.1,0.5092701439684199,0.125,0.12121212121212122,0.8531289910600256,0.24621212121212122
C,,,0.6,0.2,0.2,0.5148380289403528,0.125,0.14285714285714288,0.8531289910600256,0.2678571428571429
C,,,0.6,0.2,0.5,0.5162875273999422,0.125,0.14814814814814814,0.8531289910600256,0.27314814814814814
C,,,0.6,0.5,0.01,0.48342763045018033,0.06896551724137931,0.07407407407407407,0.8541935483870967,0.14303959131545338
C,,,0.6,0.5,0.05,0.5040375517281325,0.125,0.1,0.8534704370179949,0.225
C,,,0.6,0.5,0.1,0.5092701439684199,0.125,0.12121212121212122,0.8531289910600256,0.24621212121212122
C,,,0.6,0.5,0.2,0.5148380289403528,0.125,0.14285714285714288,0.8531289910600256,0.2678571428571429
C,,,0.6,0.5,0.5,0.5162875273999422,0.125,0.14814814814814814,0.8531289910600256,0.27314814814814814
C,,,0.7,0.01,0.01,0.4683980068958068,0.04545454545454546,0.05479452054794521,0.8447368421052631,0.10024906600249067
C,,,0.7,0.01,0.05,0.4831632926531999,0.07142857142857142,0.0851063829787234,0.8448500651890481,0.1565349544072948
C,,,0.7,0.01,0.1,0.4886624304013062,0.06666666666666667,0.1111111111111111,0.8460543337645539,0.17777777777777776
C,,,0.7,0.01,0.2,0.4982265326540877,0.061538461538461535,0.15384615384615383,0.8460543337645539,0.21538461538461537
C,,,0.7,0.01,0.5,0.5013274237253116,0.06060606060606061,0.16666666666666666,0.8460543337645539,0.22727272727272727
C,,,0.7,0.05,0.01,0.4762660784747438,0.06666666666666667,0.05479452054794521,0.8507853403141361,0.12146118721461188
C,,,0.7,0.05,0.05,0.49599623340901444,0.1111111111111111,0.0851063829787234,0.8512289780077619,0.19621749408983452
C,,,0.7,0.05,0.1,0.5006241741762991,0.10810810810810811,0.1081081081081081,0.8501920614596672,0.21621621621621623
C,,,0.7,0.05,0.2,0.509380542111371,0.10526315789473685,0.14285714285714288,0.8516624040920716,0.24812030075187974
C,,,0.7,0.05,0.5,0.5121426897237908,0.10526315789473685,0.15384615384615383,0.8516624040920716,0.2591093117408907
C,,,0.7,0.1,0.01,0.4762660784747438,0.06666666666666667,0.05479452054794521,0.8507853403141361,0.12146118721461188
C,,,0.7,0.1,0.05,0.4978887597815348,0.11764705882352941,0.0851063829787234,0.8527131782945737,0.2027534418022528
C,,,0.7,0.1,0.1,0.5024237588308875,0.11428571428571428,0.1081081081081081,0.8516624040920716,0.22239382239382238
C,,,0.7,0.1,0.2,0.5106590773697622,0.11428571428571428,0.13793103448275862,0.8531289910600256,0.2522167487684729
C,,,0.7,0.1,0.5,0.513228350867494,0.11428571428571428,0.14814814814814814,0.8531289910600256,0.2624338624338624
C,,,0.7,0.2,0.01,0.47771420367865064,0.07142857142857142,0.05479452054794521,0.8507853403141361,0.12622309197651663
C,,,0.7,0.2,0.05,0.49998237471582785,0.125,0.0851063829787234,0.8527131782945737,0.21010638297872342
C,,,0.7,0.2,0.1,0.5054851939972872,0.125,0.1081081081081081,0.8516624040920716,0.23310810810810811
C,,,0.7,0.2,0.2,0.5137186392728854,0.125,0.13793103448275862,0.8531289910600256,0.2629310344827586
C,,,0.7,0.2,0.5,0.5162875273999422,0.125,0.14814814814814814,0.8531289910600256,0.27314814814814814
C,,,0.7,0.5,0.01,0.47771420367865064,0.07142857142857142,0.05479452054794521,0.8507853403141361,0.12622309197651663
C,,,0.7,0.5,0.05,0.49998237471582785,0.125,0.0851063829787234,0.8527131782945737,0.21010638297872342
C,,,0.7,0.5,0.1,0.5054851939972872,0.125,0.1081081081081081,0.8516624040920716,0.23310810810810811
C,,,0.7,0.5,0.2,0.5137186392728854,0.125,0.13793103448275862,0.8531289910600256,0.2629310344827586
C,,,0.7,0.5,0.5,0.5162875273999422,0.125,0.14814814814814814,0.8531289910600256,0.27314814814814814
C,,,0.8,0.01,0.01,0.47256836922554546,0.07692307692307691,0.046511627906976744,0.8430851063829788,0.12343470483005366
C,,,0.8,0.01,0.05,0.4853785739676789,0.09090909090909091,0.08,0.84251968503937,0.1709090909090909
C,,,0.8,0.01,0.1,0.4902887435776181,0.08450704225352113,0.10526315789473684,0.8437500000000001,0.18977020014825796
C,,,0.8,0.01,0.2,0.49991476897280873,0.07894736842105264,0.14814814814814814,0.8437500000000001,0.2270955165692008
C,,,0.8,0.01,0.5,0.5045471921945979,0.07792207792207792,0.16666666666666666,0.8437500000000001,0.24458874458874458
C,,,0.8,0.05,0.01,0.4719355157837734,0.0625,0.046511627906976744,0.8496042216358839,0.10901162790697674
C,,,0.8,0.05,0.05,0.4921286481125846,0.10526315789473685,0.08,0.8482490272373541,0.18526315789473685
C,,,0.8,0.05,0.1,0.49608915204873716,0.09999999999999999,0.10256410256410256,0.8472400513478818,0.20256410256410257
C,,,0.8,0.05,0.2,0.5052327389835364,0.0975609756097561,0.13793103448275862,0.8487179487179488,0.23549201009251472
C,,,0.8,0.05,0.5,0.5093539119561024,0.0975609756097561,0.15384615384615383,0.8487179487179488,0.25140712945590993
C,,,0.8,0.1,0.01,0.4734859980450118,0.06666666666666667,0.046511627906976744,0.8511198945981554,0.11317829457364341
C,,,0.8,0.1,0.05,0.49598524297405666,0.11764705882352941,0.08,0.8512289780077619,0.1976470588235294
C,,,0.8,0.1,0.1,0.5007819013893182,0.11428571428571428,0.10256410256410256,0.8516624040920716,0.21684981684981686
C,,,0.8,0.1,0.2,0.5093824119686189,0.11428571428571428,0.13333333333333333,0.8531289910600256,0.24761904761904763
C,,,0.8,0.1,0.5,0.513228350867494,0.11428571428571428,0.14814814814814814,0.8531289910600256,0.2624338624338624
C,,,0.8,0.2,0.01,0.47493589115186996,0.07142857142857142,0.046511627906976744,0.8511198945981554,0.11794019933554817
C,,,0.8,0.2,0.05,0.49807934925926867,0.125,0.08,0.8512289780077619,0.20500000000000002
C,,,0.8,0.2,0.1,0.5038440726554022,0.125,0.10256410256410256,0.8516624040920716,0.22756410256410256
C,,,0.8,0.2,0.2,0.5124423386306209,0.125,0.13333333333333333,0.8531289910600256,0.2583333333333333
C,,,0.8,0.2,0.5,0.5162875273999422,0.125,0.14814814814814814,0.8531289910600256,0.27314814814814814
C,,,0.8,0.5,0.01,0.47493589115186996,0.07142857142857142,0.046511627906976744,0.8511198945981554,0.11794019933554817
C,,,0.8,0.5,0.05,0.49807934925926867,0.125,0.08,0.8512289780077619,0.20500000000000002
C,,,0.8,0.5,0.1,0.5038440726554022,0.125,0.10256410256410256,0.8516624040920716,0.22756410256410256
C,,,0.8,0.5,0.2,0.5124423386306209,0.125,0.13333333333333333,0.8531289910600256,0.2583333333333333
C,,,0.8,0.5,0.5,0.5162875273999422,0.125,0.14814814814814814,0.8531289910600256,0.27314814814814814
C,,,0.9,0.01,0.01,0.46498264106425347,0.06557377049180327,0.03773584905660377,0.8406961178045514,0.10330961954840703
C,,,0.9,0.01,0.05,0.4831091464832342,0.0975609756097561,0.07272727272727272,0.8405797101449275,0.17028824833702882
C,,,0.9,0.01,0.1,0.48727358774192797,0.0909090909090909,0.09523809523809525,0.8418300653594771,0.18614718614718614
C,,,0.9,0.01,0.2,0.4997467588776847,0.0851063829787234,0.14814814814814814,0.8418300653594771,0.23325453112687156
C,,,0.9,0.01,0.5,0.5066042183510263,0.08421052631578947,0.1739130434782609,0.8433420365535248,0.2581235697940504
C,,,0.9,0.05,0.01,0.4666850010175837,0.05714285714285714,0.03773584905660377,0.8472775564409031,0.09487870619946091
C,,,0.9,0.05,0.05,0.49857695495993365,0.14285714285714288,0.07142857142857142,0.8467532467532468,0.2142857142857143
C,,,0.9,0.05,0.1,0.5007046413421088,0.13333333333333333,0.09090909090909091,0.845758354755784,0.22424242424242424
C,,,0.9,0.05,0.2,0.5111928551719405,0.1276595744680851,0.13333333333333333,0.8472400513478818,0.26099290780141843
C,,,0.9,0.05,0.5,0.5168334036555505,0.1276595744680851,0.15384615384615383,0.8487179487179488,0.2815057283142389
C,,,0.9,0.1,0.01,0.4530808662760873,0.0,0.03773584905660377,0.8488063660477454,0.03773584905660377
C,,,0.9,0.1,0.05,0.49408938222440935,0.1212121212121212,0.07142857142857142,0.8497409326424871,0.1926406926406926
C,,,0.9,0.1,0.1,0.49795619097813926,0.11764705882352941,0.09090909090909091,0.8501920614596672,0.20855614973262032
C,,,0.9,0.1,0.2,0.5079404964094261,0.11428571428571428,0.12903225806451613,0.8516624040920716,0.2433179723502304
C,,,0.9,0.1,0.5,0.513228350867494,0.11428571428571428,0.14814814814814814,0.8531289910600256,0.2624338624338624
C,,,0.9,0.2,0.01,0.45334287084925806,0.0,0.03773584905660377,0.8488063660477454,0.03773584905660377
C,,,0.9,0.2,0.05,0.4963010423634555,0.12903225806451615,0.07142857142857142,0.8497409326424871,0.20046082949308758
C,,,0.9,0.2,0.1,0.5011871987621647,0.12903225806451615,0.09090909090909091,0.8501920614596672,0.21994134897360706
C,,,0.9,0.2,0.2,0.5110004230714281,0.125,0.12903225806451613,0.8516624040920716,0.2540322580645161
C,,,0.9,0.2,0.5,0.5162875273999422,0.125,0.14814814814814814,0.8531289910600256,0.27314814814814814
C,,,0.9,0.5,0.01,0.45334287084925806,0.0,0.03773584905660377,0.8488063660477454,0.03773584905660377
C,,,0.9,0.5,0.05,0.4963010423634555,0.12903225806451615,0.07142857142857142,0.8497409326424871,0.20046082949308758
C,,,0.9,0.5,0.1,0.5011871987621647,0.12903225806451615,0.09090909090909091,0.8501920614596672,0.21994134897360706
C,,,0.9,0.5,0.2,0.5110004230714281,0.125,0.12903225806451613,0.8516624040920716,0.2540322580645161
C,,,0.9,0.5,0.5,0.5162875273999422,0.125,0.14814814814814814,0.8531289910600256,0.27314814814814814
